BadName;Bezirk;Profil;RSS_Name;Latitude;Longitude;ProfilLink;BadestelleLink;Dat;Sicht;Eco;Ente;Farbe;BSL;Algen;Wasserqualitaet;cb;Temp;PDFLink;PrognoseLink;Farb_ID
Große Steinlanke;Steglitz-Zehlendorf;Unterhavel;Große Steinlanke / Unterhavel;52.45077300;13.19022400;"""Unterhavel - Große Steinlanke(Link zum Badegewässerprofil Unterhavel Steinlanke)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339133.php;"""Große Steinlanke(Link zur Badestelle Große Steinlanke)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344362.php;19.06.2018;120;<15;46;gruen.jpg;B333;;1;910;23,6;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad31.pdf;;1
Grünau, Freibad;Treptow-Köpenick;Dahme;Freibad Grünau;52.40898300;13.60721500;"""Dahme - Freibad Grünau(Link zum Badegewässerprofil Freibad Grünau)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339119.php;"""Freibad Grünau(Link zur Badestelle Grünau)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344325.php;11.06.2018;100;<15;<15;gruen.jpg;B226;;1;<300;24,3;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad9.pdf;;1
Grunewaldturm;Charlottenburg-Wilmersdorf;Unterhavel;Grunewaldturm / Unterhavel;52.48219700;13.19470300;"""Unterhavel - Grunewaldturm(Link zum Badegewässerprofil Unterhavel Grunewaldturm)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339131.php;"""Grunewaldturm(Link zur Badestelle Grunewaldturm)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344359.php;19.06.2018;90;<15;<15;gruen.jpg;B330;;1;<300;23,2;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad32.pdf;;1
Halensee;Charlottenburg-Wilmersdorf;Halensee;Halensee;52.49453300;13.28184200;"""Halensee - Halensee(Link zum Badegewässerprofil Halensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.468919.php;"""Halensee(Link zur Badestelle Halensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.468922.php;14.06.2018;>160;<15;<15;gruen.jpg;B930;;1;<300;21,4;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad39.pdf;;1
Heiligensee, Freibad;Reinickendorf;Heiligensee;Freibad Heiligensee;52.60045000;13.21296900;"""Heiligensee - Freibad Heiligensee(Link zum Badegewässerprofil Freibad Heiligensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339147.php;"""Freibad Heiligensee(Link zur Badestelle Freibad Heiligensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344335.php;21.06.2018;190;179;30;gruen.jpg;B925;;1;<300;23,7;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad10.pdf;;1
Jungfernheide, Freibad;Charlottenburg-Wilmersdorf;Jungfernheideteich;Freibad Jungfernheide;52.54370800;13.27466600;"""Jungfernheideteich - Freibad Jungfernheide(Link zum Badegewässerprofil Freibad Jungfernheide)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339149.php;"""Freibad Jungfernheide(Link zur Badestelle Freibad Jungfernheide)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344352.php;12.06.2018;80;77;<15;gruen.jpg;B922;;1;<300;22,6;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad11.pdf;;1
Kleine Badewiese;Spandau;Unterhavel;Kleine Badewiese / Unterhavel;52.48417700;13.18595000;"""Unterhavel - Kleine Badewiese(Link zum Badegewässerprofil Unterhavel Kleine Badewiese)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339129.php;"""Kleine Badewiese(Link zur Badestelle Kleine Badewiese)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344351.php;19.06.2018;80;<15;15;gruen.jpg;B329;;1;<300;23,4;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad33.pdf;;1
Kleiner Müggelsee;Treptow-Köpenick;Großer Müggelsee;Kleiner Müggelsee;52.42821700;13.67762100;"""Großer Müggelsee - Kleiner Müggelsee(Link zum Badegewässerprofil Kleiner Müggelsee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.386749.php;"""Kleiner Müggelsee(Link zur Badestelle Kleiner Müggelsee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344328.php;11.06.2018;120;30;<15;gruen.jpg;B112;;1;<300;24,2;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad12.pdf;;1
Krumme Lanke;Steglitz-Zehlendorf;Grunewaldseen;Krumme Lanke;52.45219000;13.23241600;"""Grunewaldseen - Krumme Lanke(Link zum Badegewässerprofil Krumme Lanke)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339151.php;"""Krumme Lanke(Link zur Badestelle Krumme Lanke)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344355.php;14.06.2018;180;77;<15;gruen.jpg;B950;;1;730;22,2;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad13.pdf;;1
Lieper Bucht;Steglitz-Zehlendorf;Unterhavel;Lieper Bucht / Unterhavel;52.46933200;13.19672100;"""Unterhavel - Lieper Bucht(Link zum Badegewässerprofil Unterhavel Lieper Bucht)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339132.php;"""Lieper Bucht(Link zur Badestelle Lieper Bucht)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344358.php;19.06.2018;100;<15;15;gruen.jpg;B331;;1;<300;23,7;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad34.pdf;;1
Lübars, Freibad (Ziegeleisee);Reinickendorf;Ziegeleisee;Freibad Lübars (Ziegeleisee);52.61795000;13.33604900;"""Ziegeleisee - Freibad Lübars Ziegeleisee (Link zum Badegewässerprofil Ziegeleisee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339148.php;"""Freibad Lübars Ziegeleisee(Link zur Badestelle Ziegeleisee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344336.php;12.06.2018;300;30;15;gruen.jpg;B926;;1;<300;22,2;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad14.pdf;;1
Müggelsee, Strandbad;Treptow-Köpenick;Großer Müggelsee;Strandbad Müggelsee;52.44471900;13.67590100;"""Großer Müggelsee - Strandbad Müggelsee(Link zum Badegewässerprofil Strandbad Müggelsee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339112.php;"""Strandbad Müggelsee(Link zur Badestelle Strandbad Müggelsee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344329.php;11.06.2018;120;<15;<15;gruen.jpg;B116;;1;<300;24;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad15.pdf;;1
Orankesee, Strandbad;Lichtenberg;Orankesee;Strandbad Orankesee;52.54959600;13.48425500;"""Orankesee - Strandbad Orankesee(Link zum Badegewässerprofil Orankesee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339144.php;"""Strandbad Orankesee(Link zur Badestelle Orankesee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.347246.php;22.06.2018;200;15;<15;gruen.jpg;B911;;1;<300;20,3;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad18.pdf;;1
Plötzensee, Freibad;Mitte;Plötzensee;Freibad Plötzensee;52.54360100;13.32923000;"""Plötzensee - Freibad Plötzensee(Link zum Badegewässerprofil Freibad Plötzensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339145.php;"""Freibad Plötzensee(Link zur Badestelle Freibad Plötzensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344353.php;12.06.2018;110;<15;<15;gruen.jpg;B915;;1;<300;22,4;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad19.pdf;;1
Radfahrerwiese;Steglitz-Zehlendorf;Unterhavel;Radfahrerwiese / Unterhavel;52.45861200;13.18963400;"""Unterhavel - Radfahrerwiese(Link zum Badegewässerprofil Unterhavel Radfahrerwiese)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339135.php;"""Radfahrerwiese(Link zur Badestelle Radfahrerwiese)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344357.php;19.06.2018;120;<15;15;gruen.jpg;B336;;1;<300;23,4;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad35.pdf;;1
Sandhauser Straße;Reinickendorf;Oberhavel;Sandhauser Straße / Oberhavel;52.59457200;13.22086600;"""Oberhavel - Sandhauser Straße(Link zum Badegewässerprofil Sandhauser Staße)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339122.php;"""Sandhauser Straße(Link zur Badestelle Sandhauser Straße)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344341.php;21.06.2018;130;´<15;<15;gruen.jpg;B302;;1;<300;23,6;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad17.pdf;;1
Schlachtensee;Steglitz-Zehlendorf;Grunewaldseen;Schlachtensee;52.44335800;13.21712800;"""Grunewaldseen - Schlachtensee(Link zum Badegewässerprofil Schlachtensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339152.php;"""Schlachtensee(Link zur Badestelle Schlachtensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344356.php;14.06.2018;180;<15;<15;gruen.jpg;B955;;1;<300;21,9;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad20.pdf;;1
Schmöckwitz;Treptow-Köpenick;Dahme;Schmöckwitz;52.37323700;13.65328500;"""Dahme - Schmöckwitz(Link zum Badegewässerprofil Dahme Schmöckwitz)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339114.php;"""Schmöckwitz(Link zur Badestelle Schmöckwitz)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344331.php;11.06.2018;70;<15;46;gruen.jpg;B215;;1;<300;24,4;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad21.pdf;;1
Seddinsee;Treptow-Köpenick;Dahme;Seddinsee;52.38720300;13.68549200;"""Dahme - Seddinsee(Link zum Badegewässerprofil Dahme Seddinsee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339116.php;"""Seddinsee(Link zur Badestelle Seddinsee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344332.php;11.06.2018;110;<15;<15;gruen.jpg;B220;;1;<300;24;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad22.pdf;;1
Tegeler See, Freibad;Reinickendorf;Tegeler See;Freibad Tegeler See;52.57783800;13.24527700;"""Tegler See - Freibad Tegeler See(Link zum Badegewässerprofil Freibad Tegeler See)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339124.php;"""Freibad Tegeler See(Link zur Badestelle Freibad Lübars)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344343.php;21.06.2018;>150;375;<15;gruen.jpg;B309;;1;360;24,4;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad23.pdf;;1
Tegeler See, gegenüber Reiswerder;Reinickendorf;Tegeler See;gegenüber Reiswerder / Tegeler See;52.56818800;13.25601800;"""Tegler See - gegenüber Reiswerder(Link zum Badegewässerprofil Tegeler See gegenüber Reiserwerder)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339126.php;"""Gegenüber Reiswerder(Link zur Badestelle Gegenüber Reiswerder)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344345.php;21.06.2018;>150;872;61;gruen.jpg;B312;;1;910;24,8;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad24.pdf;;1
Tegeler See, gegenüber Scharfenberg;Reinickendorf;Tegeler See;gegenüber Scharfenberg / Tegeler See;52.57571900;13.24425200;"""Tegler See - gegenüber Scharfenberg(Link zum Badegewässerprofil Tegeler See gegenüber Scharfenberg)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339125.php;"""Gegenüber Scharfenberg(Link zur Badestelle Scharfenberg)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344348.php;21.06.2018;150;<15;15;gruen.jpg;B311;;1;<300;24;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad25.pdf;;1
